id,name,link,ingredients,allergensraw,allergensmapped
141,Organic Baked Beans,https://world.openfoodfacts.org/product/5052910706706,"Organic Haricot Beans (53%), Organic Tomato Purée (21%), Water , Organic Sugar, Organic Maize Starch, Salt , Organic Onion Powder, Organic Rice Flour, Acidity Regulator (Citric Acid), Organic Paprika, Organic Chilli Powder, Organic Garlic Powder.",,wheat
142,Juicy Oranges Whole Fruit Squash,https://world.openfoodfacts.org/product/5023762000137,"Water, Cane Sugar, Whole Oranges (11%), Citric Acid, Orange Oil.",,
143,Milk Chocolate Large Bar,https://world.openfoodfacts.org/product/7622210496645,"sugar, whole milk powder, cocoa butter, cocoa mass, honey (3,0%), milk fat, almonds (1,6%), emulsifier (soya lecithin), egg white, flavouring, milk chocolate: cocoa solids 28% minimum, milk solids 14% minimum,","Eggs, Milk, Nuts, Soybeans","egg, milk, soy, tree nut"
144,Rosii Cirio Diced Tomatoes,https://world.openfoodfacts.org/product/8000320010118,"chopped tomatoes, tomato paste, salt, acidity regulator: citric acid,",,
145,Organic Creamy Peanut Butter,https://world.openfoodfacts.org/product/0096619555505,"Dry roasted organic peanuts, sea salt",Peanuts,peanut
146,Velouté de légumes,https://world.openfoodfacts.org/product/3036811460259,"water, carrot 26%, leek 10%, onion 5.7%, potato 5.7%, tomato puree 2.1%, pumpkin, celeriac, cooking butter, fresh cream, salt, natural pepper extract,","Celery, Gluten, Milk","milk, wheat"
147,Bagels Everything,https://world.openfoodfacts.org/product/0048121253196,"ENRICHED WHEAT FLOUR (FLOUR, MALTED LEY FLOUR, REDUCED IRON, NIACIN, THIAMIN MONONTRATE (VITAMIN B1), RIBOFLAVIN (VITAMIN B2), FOLIC ACID, WATER, SUGAR, SUNFLOWER SEEDS, YEAST, WHEAT GLUTEN, SESAME SEEDS, ONION, SALT, CORNMEAL, CALCIUM PROPIONATE, SORBIC ACID, POPPY SEEDS, MONO AND DIGLYCERIDES, GARLIC, CITRIC ACID, GUAR GUM, MALTODEXTRIN, soybean OIL, CELLULOSE GUM, CORNSTARCH, ALGIN, SOY LECITHIN.","Gluten, Sesame Seeds, Soybeans","sesame, soy, wheat"
148,PEANUT BUTTER CREAMY,https://world.openfoodfacts.org/product/0037600110754,"roasted peanuts, sugar, hydrogenated vegetable oil (cottonseed, soybean and rapeseed oil) to prevent separation, salt.","Peanuts, Soybeans","peanut, soy"
149,Fruit & Seed Oatcakes,https://world.openfoodfacts.org/product/0612322000202,"Wholegrain Oats (68%), Currants (12%) (Currants, Sunflower Oil), Brown Sugar, Sustainable Palm Fruit Oil, Brown Flaxseeds (6%), Raising Agent: Sodium Bicarbonate, Sea Salt.",Gluten,wheat
150,Organic Quinoa & Brown Rice with Garlic,https://world.openfoodfacts.org/product/0748404287947,"WATER, WHOLE GRAIN BROWN RICE, BLEND OF WHOLE GRAIN QUINOA (WHOLE GRAIN RED QUINOA, WHOLE GRAIN BLACK QUINOA), SUNFLOWER OIL, SEA SALT, GARLIC POWDER, DEHYDRATED GARLIC, ONION POWDER, MINCED GARLIC, PARSLEY, BLACK PEPPER",,
151,Smoked Trout Fillets,https://world.openfoodfacts.org/product/00444057,"trout fillets, canola oil, salt, hardwood smoke may contain traces of milk, egg, soy, wheat, herring, tuna, lobster.","Crustaceans, Fish","egg, fish, milk, shellfish, soy, wheat"
152,Marinated King Prawns,https://world.openfoodfacts.org/product/00699891,King Prawns (Crustacean) (58%). Sweet Chilli Dipping Sauce (36%) (Sugar Water Rice Wine Vinegar Red Chillies Garlic Purée Cornflour Ground Paprika Salt). Salt. Coriander Ginger Purée Red Chillies Rapeseed Oil Sugar. Red Bell Peppers Ground Paprika Cornflour Cracked Black Pepper Garlic Purée. .,Crustaceans,shellfish
153,Granola L'Original,https://world.openfoodfacts.org/product/7622210601988,"wheat flour 48%, milk chocolate 27% sugar, cocoa mass, cocoa butter, whey powder (from milk), skimmed milk powder, vegetable fats (palm, shea in varying proportions), concentrated butter, emulsifiers (soy lecithins, e476), lactose (milk), aromamel, vegetable oils (palm, copra), sugar, sugar syrup, wheat bran, baking powder (sodium carbonates, ammonium carbonates), salt, wheat germ, acidity regulator (citric acid), may contain eggs, nuts, sesame,","Gluten, Milk, Soybeans","egg, milk, sesame, soy, tree nut, wheat"
154,BEANZ In a rich tomato sauce NO ADDED SUGAR,https://world.openfoodfacts.org/product/5000157078773,"Beans (50%), Tomatoes (37%), Water, Modified Cornflour, Spirit Vinegar, Salt, Natural Flavouring, Spice Extracts, Sweetener - Steviol Glycosides, Herb Extract. Contains naturally occuring sugars.",,
155,Peanut Butter,https://world.openfoodfacts.org/product/0037600106252,"ROASTED PEANUTS, SUGAR, HYDROGENATED VEGETABLE OIL (COTTONSEED, SOYBEAN AND RAPESEED OIL) TO PREVENT SEPARATION, SALT.","Peanuts, Soybeans","peanut, soy"
156,Beanz in a rich tomato sauce,https://world.openfoodfacts.org/product/5000157024855,"Beans (50%), Tomatoes (36%), Water, Sugar, Spirit Vinegar, Modified Cornflour, Salt, Spice Extracts, Herb Extract",,
157,Unsalted Mixed Nuts,https://world.openfoodfacts.org/product/0096619885718,"Cashews, Almonds, Pistachios, Pecans, Highly refined peanut oil. May contain: Peanuts, Other tree nuts, Milk, Sesame, Soy, Wheat, Mustard, Sulfites.",Nuts,"milk, peanut, sesame, soy, tree nut, wheat"
158,Raw kimchi,https://world.openfoodfacts.org/product/5010292961182,"Chinese Leaf Cabbage, Carrots, Spring Onion, Sea Salt, Chilli Powder, Ginger, Garlic.",,
159,Thon entier au naturel,https://world.openfoodfacts.org/product/20403027,"tuna, water, table salt",Fish,fish
160,Premium Oyster Sauce,https://world.openfoodfacts.org/product/0078895100013,"Oyster Extract 40% [ Oysters ( Molluscs ) 90%, Water, Salt], Sugar, Water, Salt, Modified Corn Starch, Wheat Flour, Colour (Plain Caramel), Yeast Extract (Yeast Extract, Salt), Flavour Enhancers (Disodium Inosinate, Disodium Guanylate).","Gluten, Molluscs","shellfish, wheat"
161,Tilda Steamed Brown Basmati Rice,https://world.openfoodfacts.org/product/5011157888132,"Natural Basmati Rice - Cooked (98%), Rice Bran Oil, Salt.",,
162,Geeta's Mango Chutney imp,https://world.openfoodfacts.org/product/5021185201223,"Mangoes (56%), Sugar, salt, Acidity Regulator : Acetic Acid, Whole Baby Garlic Cloves, Cumin Seeds, Mixed Spices, Fenugreek Seeds, Nigella Seeds, Black Peppercorns, cardamom pods, Whole clove, herb.",,
163,Peanut Butter Pretzels,https://world.openfoodfacts.org/product/0096619336753,"Enriched Wheat Flour (Wheat Flour, Niacin, Reduced Iron, Thiamin Mononitrate, Riboflavin, Folic Acid), Peanut Butter (Valencia Peanuts, Molasses, Mono - and diglycerides), Salt, Soybean Oil, Corn Syrup, Barley Malt Extract.","Gluten, Peanuts, Soybeans","milk, peanut, soy, wheat"
164,"Toasted Muesli Almond, Cashew & Chia",https://world.openfoodfacts.org/product/9326666610447,"Whole Grains (68%) [Oats, Barley, Wheat, Triticale (Wheat, Rye)], Golden Syrup, Nuts [Almond (4%), Cashew (2%)], Seeds [Pepita (2%), Sunflower (2%), Chia (2%)], Honey, Sunflower Oil, Natural Flavour, Cinnamon (0.5%), Antioxidant (Vitamin E). CONTAINS: WHEAT, GLUTEN, ALMOND, CASHEW. MAY CONTAIN: BRAZIL NUT, HAZELNUT, MACADAMIA, PECAN, PINE NUT, PISTACHIO, WALNUT, LUPIN, MILK, PEANUT, SESAME, SOY.","Gluten, Lupin, Milk, Nuts, Peanuts, Sesame Seeds","milk, peanut, sesame, soy, tree nut, wheat"
165,Barbecue Sauce,https://world.openfoodfacts.org/product/0013409451328,"HIGH FRUCTOSE CORN SYRUP, DISTILLED VINEGAR, TOMATO PASTE, MODIFIED FOOD STARCH, CONTAINS LESS THAN 2% OF: SALT, PINEAPPLE JUICE CONCENTRATE, NATURAL SMOKE FLAVOR, SPICES, CARAMEL COLOR, SODIUM BENZOATE AS A PRESERVATIVE, MOLASSES, CORN SYRUP, GALRIC , SUGAR , TAMARIND, NATURAL FLAVOR.",Celery,
166,Gewürzgurken,https://world.openfoodfacts.org/product/20004330,"Cucumbers, water, vinegar, sugar, salt, mustard seeds, dill, onions, red paprika, black peppercorns",Mustard,
167,Blueberry,https://world.openfoodfacts.org/product/0857777004195,"Dates, egg whites, almonds, cashews, blueberries, natural blueberry flavor.","Eggs, Nuts","egg, tree nut"
168,"coca cola 0,5",https://world.openfoodfacts.org/product/54491472,"water, fructose-glucose syrup, carbon dioxide, colorant: e150d, acid: phosphoric acid, natural flavors, caffeine flavoring,",,
169,uht jaouda 1L,https://world.openfoodfacts.org/product/6111242101180,whole milk,Milk,milk
170,BEANZ In a rich tomato sauce,https://world.openfoodfacts.org/product/5000157024671,"Beans (50%), Tomatoes (36%), Water, Sugar, Modified Cornflour, Salt, Spice Extracts , Herb Extract",,
171,Shrimp,https://world.openfoodfacts.org/product/0096619187119,"Shrimp, Water and Salt., Shrimp.",Crustaceans,shellfish
172,Barista edition oat drink,https://world.openfoodfacts.org/product/7394376620157,"water, oats 10%, rapeseed oil, acidity regulator (dipotassium phosphate), minerals (calcium carbonate, potassium iodide), salt, vitamins (d2, riboflavin, b12),",Gluten,wheat
173,Seabrook sea salt,https://world.openfoodfacts.org/product/5016451062110,"potatoes, sunflower oil (30%), sea salt",,
174,"Erdnussbutter, creamy",https://world.openfoodfacts.org/product/20166076,"roasted peanut kernels 90.9%, sugar, fully hydrogenated rapeseed oil, table salt,",Peanuts,peanut
175,Snickers,https://world.openfoodfacts.org/product/5000159461122,"Milk Chocolate (sugar, cocoa butter, chocolate, skim milk, lactose, milkfat, soy lecithin), peanuts, corn syrup, sugar, palm oil, skim milk, lactose, salt, egg whites, artificial flavor.","Eggs, Milk, Peanuts, Soybeans","egg, milk, peanut, soy"
176,Jasons Sourdough,https://world.openfoodfacts.org/product/5025125000129,"Wheat Flour (Wheat Flour, Calcium Carbonate, Iron, Niacin, Thiamin), Water, Wholemeal Spelt (Wheat) Flour, Sprouted Spelt (Wheat) Grains (5%), Rye Flour, Salt, Fermented Wheat Flour.",Gluten,wheat
177,Real Mayonnaise,https://world.openfoodfacts.org/product/0048001265745,"soybean oil, water, whole eggs and egg yolks, distilled vinegar, salt, sugar, lemon juice concentrate, calcium disodium EDTA, natural flavors","Eggs, Soybeans","egg, soy"
178,Roasted Cashew-Peanut-Mix Honey & Salt,https://world.openfoodfacts.org/product/20333737,"33% cashews , 32% peanut kernels , sugar, 3% honey, vegetable oils (sunflower, oil palm), gelling agent: gum arabic, 0,8% table salt, glucose syrup, dye: ammonia sugar caramel,","Nuts, Peanuts","peanut, tree nut"
179,Veg crisps,https://world.openfoodfacts.org/product/5056051802419,"Mixed root vegetables in variable proportions 61% (parsnip, beetroot and carrot), sunflower oil, sea salt",,
180,Panda Brand Oyster Flavoured Sauce,https://world.openfoodfacts.org/product/0078895300024,"Water, sugar, salt, oyster extract 11% [oysters (molluscs) 90%, water, salt], salt, modified corn starch, flavour enhancer E621, wheat flour, colour E150a","Gluten, Molluscs","shellfish, wheat"
181,Peanut Butter,https://world.openfoodfacts.org/product/0051500240946,"ROASTED PEANUTS, SUGAR, CONTAINS 2% OR LESS OF: MOLASSES, FULLY HYDROGENATED VEGETABLE OILS (RAPESEED AND SOYBEAN), MONO AND DIGLYCERIDES, SALT.","Peanuts, Soybeans","peanut, soy"
182,Milk Chocolate Bar,https://world.openfoodfacts.org/product/7614500035788,"sugar, whole milk powder, cocoa butter, cocoa mass, honey (3,0%), milk fat, almonds (1,6%), emulsifier (soya lecithin), egg white, flavouring, milk chocolate: cocoa solids 28% minimum, milk solids 14% minimum,","Eggs, Milk, Nuts, Soybeans","egg, milk, soy, tree nut"
183,Kinder Chocolate,https://world.openfoodfacts.org/product/80177616,"Fine milk chocolate 40% (sugar, milk powder, cocoa butter, cocoa mass, emulsifier (lecithins ( soya )), vanillin), sugar, skimmed milk powder, palm oil, concentrated butter , emulsifier (lecithins ( soya )), vanillin.","Milk, Soybeans","milk, soy"
184,PUMPKIN SEED + FLAX GRANOLA,https://world.openfoodfacts.org/product/0058449770565,"Whole grain rolled oats , cane sugar, soy oil , brown rice flour pumpkin seeds, flax seeds oat syrup solids [oat syrup solids , tocopherols (added to enhance freshness)], sea salt, molasses , cinnamon . Organic. Contains soy. Produced in a facility that uses wheat, peanuts and tree nuts. VEGAN Contains 700 mg of ALA per serving, which is 44% of the 1.6 g Daily Value for ALA.","Gluten, Nuts, Peanuts, Soybeans","peanut, soy, tree nut, wheat"
185,Tiptree tomato ketchup,https://world.openfoodfacts.org/product/0043647868039,"Tomatoes, Sugar, Wine Vinegar, Lemon Juice, Salt, Spices.",,
186,Ramen Noodle Soup,https://world.openfoodfacts.org/product/0041789002113,"ENRICHED WHEAT FLOUR (WHEAT FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRAT RIBOFLAVIN, FOLIC ACID), VEGETABLE OIL (CONTAINS ONE OR MORE OF THE FOLLOWING: CANOLA PRESERVED BY TBHQ, CONTAINS LESS THAN 1% OF: SALT, POTASSIUM CARBONATE, SOY SAUCE (WATER, WHEAT, SOYBEAN, SALT), SODIUM CARBONATE, SODIUM HEXAMETAPHOSPHATE, SODIUM TRIPOLYPHOSPHATE, SOUP BASE INGREDIENTS: SALT, SUGAR, CONTAINS LESS THAN 1% OF: MONOSODIUM GLUTAMATE, MALTODEXTRIN, SPICES (CELERY SEED), HYDROLYZED CORN PROTEIN, HYDROLYZED WHEAT PROTEIN, HYDROLYZED SO NATURAL FLAVORS, DEHYDRATED VEGETABLES (CHIVE, GARLIC, ONION), DISODIUM GUANYLATE, DISOCIUM KNOSINATE YEAST EXTRACT. VEGETABLE OIL (PALM), LACTOSE, POWDERED COCKED CHICKEN CONTAINS WHEAT, SOY AND EILE INGREDIENTS. MANUFACTURED IN A FACILITY THAT AI SO PROCESSES CRUSTACEAN SHELLFISH AND SESAME PRODUCTS. CONTAINS A BIOENGINEERED FOOD INGRED ially","Celery, Gluten, Milk, Soybeans","milk, sesame, shellfish, soy, wheat"
187,Almond Flour Crackers,https://world.openfoodfacts.org/product/0856069005957,"Nut & Seed Flour Blend (almonds, sunflower seeds, flax seeds), Tapioca Starch, Cassava Flour, Organic Sunflower Oil, Sea Salt, Organic Onion, Organic Garlic, Rosemary Extract.",Nuts,"tree nut, wheat"
188,Big Mac,https://world.openfoodfacts.org/product/2000000002603,"bread (e932a, e471, e282, e281), sesame seeds, ground steaks (beef), salad, onion, pickle (e520, e433), processed cheese (cheddar 51%, water, cheese (9%), skimmed milk powder, butter, melting salts (e331, e330, e338, e450), milk proteins, natural flavours, salt, colours (beta carotene, paprika extract), anti-caking agent (sunflower lecithin) sauce (water, rapeseed oil, alcohol vinegar, pickles, glucose-fructose syrup, sugar, modified corn starch, egg yolk, mustard (water, vinegar, mustard seeds, salt, mustard bran, sugar, caramel, turmeric), spices (including mustard), cooking salt, thickener (e415), natural flavours, yeast extract, firming (e509, e15, e433, e211,edta) in unknown quantities: sulphur dioxide and sulphites, gluten (wheat), gluten (soy), sesame seed, milk, eggs, mustard","Eggs, Gluten, Milk, Mustard, Sesame Seeds, Soybeans, Sulphur Dioxide And Sulphites","egg, milk, sesame, soy, wheat"
189,Napolitain l'Original,https://world.openfoodfacts.org/product/3017760290692,"wheat flour 24.4%, sugar, palm oil, glucose-fructose syrup, chocolate powder 6.7% (sugar, cocoa powder), eggs, stabilizer (glycerol), whey powder (milk), margarine (palm oil, water, rapeseed oil, emulsifier (e471), acidity corrector (sodium citrate), acidifier (citric acid), dye (beta-carotene)), glucose syrup, aromas (contains alcohol), lean cocoa powder, , shea butter, salt, emulsifiers (e472b, e472a, soy lecithin), skimmed milk powder, pastry butter, preservative (potassium sorbate), sunflower oil, dye (e160a)","Eggs, Gluten, Milk, Soybeans","egg, milk, soy, wheat"
190,COCA COLA PET 1.25L CT,https://world.openfoodfacts.org/product/5449000267412,"carbonated water, sugar, coloring: e150d, acidifier, phosphoric acid, natural flavourings including caffeine,",,
191,AnSungTangMyun Noodle,https://world.openfoodfacts.org/product/8801043157735,"noodles 90%: wheat flour, potato starch, palm oil, rice flour, wheat gluten, salt, acidity regulators e501, e500, e339, antioxidant: e306, emulsifier e322 (contains soy), thickener: e412, seasoning agent (maltodextrin, garlic extract), green tea extract, colour: e101, seasoning powder 10%: condiments (hydrolyzed vegetable protein (soy, wheat), maltodextrin, salt, yeast extract, black pepper, shiitake), salt, sugar, condiments (red chillies, garlic, rice bran oil, black pepper), dried seaweed, flavour enhancer: e631, e627, red chillies, colour: e150c, may contain barley, crustaceans, eggs, fish, peanuts, milk, celery, mustard, sesame seeds and molluscs,","Celery, Crustaceans, Eggs, Fish, Gluten, Milk, Mustard, Peanuts, Soybeans","egg, fish, milk, peanut, sesame, shellfish, soy, wheat"
192,organic supergreens fruits & vegetables,https://world.openfoodfacts.org/product/0860002992570,"Organic Gum Acacia, Organic Ground Rice Hulls, Organic Inulin, Gut Health, Organic Prebiotic & Probiotics Blend (L. rhamnosus, L. plantarum, P. acidilactici, L. acidophilus, L. gasseri, B. longum, B. lactis), Organic Spirulina (Whole Plant) Powder, Organic Spinach (Leaf and Stalk) Powder, Organic Wheatgrass (Leaf and Stem) Powder, Organic Barley Grass (Leaf and Stem) Powder, Organic Oat Grass (Leaf and Stem) Powder, Organic Alfalfa Grass (Leaf and Stem) Powder, Organic Kale (Leaf and Stalk) Powder, Organic, Berry Antioxidant Blend [Organic Pomegranate Juice Powder, Organic Acai Juice Powder, Organic Goji Juice Powder, Organic Grape Juice Powder, Organic Amla Fruit Powder, Organic Cranberry Powder, Organic Aronia Powder, Organic Sea Buckthorn Juice Powder, Organic Camu Camu Powder, Organic Acerola Juice Powder, Organic Maqui Berry], Organic Carrot (Whole Taproot) Powder, Organic Cauliflower (Flower & Stem) Powder, Organic Chlorella (Whole Plant) Powder, Organic Garlic (Bulb) Powder, Organic Moringa (Leaf) Powder, Organic Onion (Root Bulb) Powder, Organic Parsley (Leaf) Powder, Organic Quinoa (Grain) Powder, Organic Hebridean Seaweed (Thallus) Powder, Organic Protein Blend [Organic Brown Rice Powder, Organic Pea Protein Powder, Organic Sacha Inchi Powder, Organic Pumpkin Seed Protein Powder], Organic Ashwagandha (Root) Powder, Organic Ginger Root (Rhizome) Powder, Organic Cinnamon (Bark) Powder, Organic Cocoa Powder Alkalized, Organic Defatted Flax Seed (Hull) Powder, Organic Maca (Root) Powder, Organic Shatavari (Root) Powder, Organic Green Tea (Leaf) Extract, Organic Sea Veggie Blend (Laminaria hyperborea, Ascophyllum nodosum, Laminaria digitata) (Whole Thallus), Organic Broccoli (Floret and Stalk) Powder, Organic Green, Cabbage (Leaf) Powder, Organic, Organic Celery (Leaf & Stalk) Powder, Organic Green Bell Pepper (Fruit) Powder, Organic Coconut Water Powder, Organic Lemon Juice Powder, Organic Mushroom Blend [Organic Cordyceps (Cordyceps militaris), Organic Cordyceps (Cordyceps sinensis), Organic Reshi (Ganoderma lucidum), Organic Maitake (Grifola frondosa), Organic Lion's Mane (Hericium erinaceus), Organic Chaga (Inonotus obliquus), Organic Shiitake (Lentinula edodes), Organic Oyster (Pleurotus ostreatus), Organic Turkey Tail (Trametes versicolor), Organic Snow Fungus (Tremella fuciformis), Organic White Button (Agaricus bisporus), Organic King Oyster (Pleurotus eryngii)], Enzyme Blend (Cellulase, Amylase, Protease), Organic natural flavors, Citric Acid, Organic Stevia extract","Celery, Molluscs","shellfish, tree nut"
193,Tesco Spicy Bean with Cheese Wrap,https://world.openfoodfacts.org/product/03275771,"Wheat Flour [Wheat Flour, Calcium Carbonate, Iron, Niacin, Thiamin], Water, Black Turtle Beans (10%), Borlotti Beans (10%), Medium Fat Soft Cheese (Milk), Lettuce, Mild Cheddar Cheese (With Colour: Beta Carotene) (Milk), Red Pepper, Tomato Paste, Rapeseed Oil, Palm Oil, White Wine Vinegar, Onion, Herbs, Sugar, Tomato Powder, Cornflour, Humectant (Glycerol), Spices, Salt, Pasteurised Egg Yolk, Tomato, Bell Pepper Powder, Potato Starch, Red Chilli Purée, Wheat Fibre, Spirit Vinegar, Garlic Purée, Concentrated Lemon Juice, Garlic Powder, Onion Powder, Mustard Flour, Black Pepper.","Eggs, Gluten, Milk, Mustard","egg, milk, wheat"
194,Alaska Salmon Burgers,https://world.openfoodfacts.org/product/0028029088816,"Pink And/or Keta Salmon, Vegetable Oil (soybean And/or Canola), Water, Contains 2% Or Less Of: Ground Onion, Salt, Potato Extract, Garlic Powder, Mustard Flour, White Pepper, Beet Juice (color), Annatto (color), Rosemary Extract, Mesquite Smoke Flavor, Lemon Juice From Concentrate.","Mustard, Soybeans","fish, soy, wheat"
195,Buldak Original,https://world.openfoodfacts.org/product/8801073110502,"Noodle [Wheat flour, Food Starch Modified, Palm Oil, 2% Wheat gluten, Salt, Glycerin, Soy Lecithin, Polyglycerol Esters of Fatty Acids, Potassium Carbonate, Sodium Carbonate, Sodium Phosphate Dibasic, Guar Gum, Tocopherols, Riboflavin (Color)], Sauce [Water, Artificial Chicken Flavor Powder (Artificial Flavor, Dextrin, Wheat Starch, Sugar, Salt, Yeast Extract, Natural Flavor, Disodium 5'-Ribonucleotide, Maltodextrin, Corn Starch), Soy Sauce Seasoning (Soybeans, Water, Salt, Wheat, Sodium Carbonate, High Fructose Corn Syrup, Disodium 5'-Ribonucleotide, Garlic, Steviol Glycoside, Maltodextrin, Sugar), Sugar, Hot Pepper Seasoning (Red Pepper, Dextrin, Salt, Sugar, Onion Powder, Artificial Flavor, Garlic Powder, Silicon Dioxide, Soy Sauce (Water, Soybeans, Wheat, Salt), Capsicum Oleoresin, Paprika Oleoresin, Monosodium Glutamate, Disodium Inosinate, Disodium Guanylate), Soybean Oil, Onion, Red Pepper Seed Oil, 2% Garlic, Food Starch Modified, Capsicum Oleoresin, Paprika Oleoresin, Black Pepper Powder, Natural and Artificial Curry Flavor (Cumin, Salt, Maltodextrin, Artificial Flavor)], Flake [Sesame, Dried Seaweed].","Gluten, Sesame Seeds, Soybeans","sesame, soy, wheat"
196,Mae ploy Red curry paste 400g,https://world.openfoodfacts.org/product/0044738102346,"Dried red chili, garlic, lemongrass, salt, shallot, galangal, shrimp paste (shrimp, salt), kaffir lime peel, pepper.",Crustaceans,shellfish
197,Artesano bakery bread,https://world.openfoodfacts.org/product/0072945612419,"ENRICHED WHEAT FLOUR (FLOUR, MALTED BARLEY FLOUR, REDUCED IRON, NIACIN, THIAMIN MONONITRATE (VITAMIN B1), RIBOFLAVIN (VITAMIN B2), FOLIC ACID), WATER, SUGAR, YEAST, VEGETABLE OIL (SOYBEAN), WHEAT GLUTEN, SEA SALT, CULTURED WHEAT FLOUR, SOY LECITHIN, CITRIC ACID GRAIN VINEGAR, SESAME SEEDS.","Gluten, Sesame Seeds, Soybeans","sesame, soy, wheat"
198,Sesame crostini crunchy little toasts with bold possibilities,https://world.openfoodfacts.org/product/8710649120909,"Wheat flour, sesame seeds, yeast, salt, malt (barley), emulsifiers: sodium stearoyl-2-lactylate, soy lecithin.","Gluten, Sesame Seeds, Soybeans","sesame, soy, wheat"
199,REAL MAYONNAISE,https://world.openfoodfacts.org/product/0048001213487,"soybean oil, water, whole eggs and egg yolks (whole eggs and egg yolks), vinegar, salt, sugar, lemon juice concentrate, calcium disodium edta (used to protect quality), natural flavors,","Eggs, Soybeans","egg, soy"
200,Coke Zero,https://world.openfoodfacts.org/product/5449000214799,"carbonated water, colouring (e150d), acidifier (phosphoric acid), sweeteners (aspartame, acesulfame-k), natural flavors, caffeine aroma, acidity regulator (sodium citrates)",,
